event_id,title,date,address,description,image,venue_rating,venue_reviews
0,Alameda County Fair,Jun 14 – Jul 7,"Alameda County Fairgrounds, 2005 Valley Ave Gate 8, Pleasanton, CA","2024 Fair is having MANY competitions this year! Including: gardening, fine arts, wood carving, stills, and much more!",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3acuO8qQDokLns-IUvC53GMvZohFYX69f-GT2wl886w&s=10,4.3,4568
1,TARAKA San Jose // Gordo,"Sat, Jun 15, 2 – 6 PM","Discovery Meadow, 180 Woz Way, San Jose, CA","TARAKA SAN JOSE GORDO LEE FOSS MALONE AND NOYA. SUPPORT: 96 VIBEM NICK CRESPO, FOOLIE. BAD APPLE RECORDS: MANEKI B2B RYLAN LADION YDD B2B SPDY Globally-renowned DJ and producer GORDO, is set to...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTd98Aq3jvKfXyWNumgW6v2-Pc78rhVkRo8D9msnHKYbA&s,4.5,239
2,Edición Especial – Segunda Edición Tour,"Fri, Jun 14, 8 PM – Sat, Jun 15, 12 AM","San Jose Civic, 135 W San Carlos St, San Jose, CA","Cousins Arturo Villa and Cristian Valenzuela began playing at 10 years old in Culiacan, Sinaloa. Together with members Gil Lizarraga & Jesus Alan Obeso they formed the Musica Mexicana band Edición...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHxWx-xz2fdO5NmERbsp4Hmmq8E1CGsEq5bhG-Q1gLIA&s=10,4.5,1943
3,Hannah Gadsby,"Sat, Jun 15, 7:30 – 9:30 PM","The Curran Theatre, 445 Geary St, San Francisco, CA","Hannah Gadsby’s brand new stand up show 'Woof!' is hitting the road. Hannah has a lot to worry about. Then again, so do we all. In a world full of genuine worries, which anxiety gets to sit in the...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyPsZf0ywsC2d4o3QujI1DzofE4hbIt_od_si_J_u9HYJ6jk2yHO7IL41ZPjs&s=10,4.6,1252
4,"Middle Kids, Gordi","Sat, Jun 15","August Hall, 420 Mason St, San Francisco, CA",Find tickets for Middle Kids at August Hall in San Francisco on 6/15/2024 at 8:30 PM,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQKpRUYYeC48bIb3wxNqkN2AfYEou--mBcIR3_1h9vVTKTBq4hJQsYIy7k3A&s=10,4.5,847
5,Don Carlos,"Sat, Jun 15, 8 – 10 PM","Great American Music Hall, 859 O'Farrell St, San Francisco, CA",Find tickets for Don Carlos at Great American Music Hall in San Francisco on 6/15/2024 at 9:00 PM,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnQUOOmwZ78q_E-YhyMviTZIP6t6tpThHFS7OyOLcrFsRoT4-CMlgIyuqNiw&s,4.7,1416
6,Sarah Silverman,"Sat, Jun 15, 9:15 PM – Sun, Jun 16, 1:15 AM","The Punch Line San Francisco, 444 Battery St, San Francisco, CA",Find tickets for Sarah Silverman at Punch Line Comedy Club - San Francisco in San Francisco on 6/15/2024 at 9:15 PM,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQtHcm73mU9qNWkzwgvL_1caJT1ZfQxpyDkgkXLH_Ci_UJFnHjAqBm9GYVdw&s=10,4.4,971
7,A Flock of Seagulls,"Fri, Jun 14, 8:00 – 9:30 PM","The Guild Theatre, 949 El Camino Real, Menlo Park, CA",Get your A Flock of Seagulls Tickets at The Guild Theatre in Menlo Park by The Guild Theatre from Tixr.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzp08IXQdONqEtQkgQyicy-4RfKbEhOxvFE2jU-OwmCzwnDXWUmYElpoljZA&s,4.8,194
8,Bag Raiders,"Sat, Jun 15, 3 – 7 PM","The Midway, 900 Marin St, San Francisco, CA",Find tickets for Bag Raiders at The Midway in San Francisco on 6/15/2024 at 3:00 PM,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRf6D9FSUQyWWxkTNc95axwCOLsy1H-Rjl_xowBhuz3Jg&s=10,4.5,1851
9,Mystery Skulls,"Sat, Jun 15, 8:00 – 9:30 PM","Cafe Du Nord, 2174 Market St, San Francisco, CA",Find tickets for Mystery Skulls with Snowblood and Thorne at Cafe Du Nord in San Francisco on 6/15/2024 at 8:00 PM,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQg_CUD7XCNj207GIm-m7F034QfBJfyxGEVBw4UXmx3ssoVFpCUXC4A2U-YxQ&s=10,4.3,374
